date,industrial_sector,chrobinson,spstock
2019-01-02,60.8829956054688,76.1343765258789,2510.030029
2019-01-03,59.0303649902344,73.3268203735352,2447.889893
2019-01-04,61.2685699462891,75.8683166503906,2531.939941
2019-01-07,61.7669906616211,76.2352981567383,2549.689941
2019-01-08,62.6133880615234,76.8500366210938,2574.409912
2019-01-09,63.0365676879883,77.730842590332,2584.959961
2019-01-10,63.8923568725586,78.3914489746094,2596.639893
2019-01-11,63.8265151977539,78.5657730102539,2596.26001
2019-01-14,63.8171195983887,78.7676086425781,2582.610107
2019-01-15,63.6196365356445,78.1987686157227,2610.300049
2019-01-16,63.6854515075684,78.0060958862305,2616.100098
2019-01-17,64.7763519287109,78.9419326782227,2635.959961
2019-01-18,66.0083084106445,81.3549728393555,2670.709961
2019-01-22,64.6446914672852,79.7768783569336,2632.899902
2019-01-23,64.7387237548828,79.8043899536133,2638.699951
2019-01-24,65.0678787231445,79.4006958007813,2642.330078
2019-01-25,65.8954544067383,79.8686065673828,2664.76001
2019-01-28,65.2653579711914,79.6117324829102,2643.850098
2019-01-29,66.1681747436523,79.4649200439453,2640
2019-01-30,67.2026519775391,79.5750274658203,2681.050049
2019-01-31,67.4941635131836,79.6117324829102,2704.100098
2019-02-01,67.5976104736328,80.4833526611328,2706.530029
2019-02-04,68.4721984863281,81.3091125488281,2724.870117
2019-02-05,69.0646743774414,82.318359375,2737.699951
2019-02-06,69.08349609375,83.3000793457031,2731.610107
2019-02-07,68.6132659912109,82.9055480957031,2706.050049
2019-02-08,68.7167282104492,82.9055480957031,2707.879883
2019-02-11,69.08349609375,82.6578369140625,2709.800049
2019-02-12,70.1555862426758,83.5019378662109,2744.72998
2019-02-13,70.5693588256836,83.4010009765625,2753.030029
2019-02-14,70.2401962280273,83.2174987792969,2745.72998
2019-02-15,71.1806259155273,83.9056167602539,2775.600098
2019-02-19,71.1524200439453,84.3643798828125,2779.76001
2019-02-20,71.4909820556641,84.4286041259766,2784.699951
2019-02-21,71.1994247436523,84.5754165649414,2774.879883
2019-02-22,71.6696395874023,84.3552093505859,2792.669922
2019-02-25,71.9517669677734,83.5202865600586,2796.110107
2019-02-26,71.7542877197266,83.5936813354492,2793.899902
2019-02-27,72.0364227294922,82.6394882202148,2792.379883
2019-02-28,71.7919082641602,83.3867950439453,2784.48999
2019-03-01,71.8577423095703,83.2207260131836,2803.689941
2019-03-04,71.5379867553711,81.8736877441406,2792.810059
2019-03-05,71.0771789550781,81.9567413330078,2789.649902
2019-03-06,70.4094848632813,81.1817321777344,2771.449951
2019-03-07,69.9862976074219,80.7019653320313,2748.929932
2019-03-08,69.8452301025391,80.6742782592773,2743.070068
2019-03-11,70.4377136230469,81.9936447143555,2783.300049
2019-03-12,69.8546142578125,81.882926940918,2791.52002
2019-03-13,70.4659118652344,82.1874008178711,2810.919922
2019-03-14,70.2308044433594,82.4272766113281,2808.47998
2019-03-15,69.9829864501953,82.1135787963867,2822.47998
2019-03-18,70.6639938354492,83.1192474365234,2832.939941
2019-03-19,70.4086227416992,81.4769744873047,2832.570068
2019-03-20,69.9262313842773,79.9361877441406,2824.22998
2019-03-21,70.597785949707,80.5266723632813,2854.879883
2019-03-22,68.9993133544922,78.1278533935547,2800.709961
2019-03-25,69.1601104736328,76.9745635986328,2798.360107
2019-03-26,69.6235656738281,78.9213104248047,2818.459961
2019-03-27,69.6992416381836,79.1796340942383,2805.370117
2019-03-28,70.2099990844727,79.6040573120117,2815.439941
2019-03-29,70.966667175293,80.2591094970703,2834.399902
2019-04-01,72.4327239990234,81.4677429199219,2867.189941
2019-04-02,72.4043502807617,81.6430511474609,2867.23999
2019-04-03,72.1868057250977,81.8367919921875,2873.399902
2019-04-04,72.6313705444336,82.3257827758789,2879.389893
2019-04-05,72.8394470214844,82.5380020141602,2892.73999
2019-04-08,72.5272979736328,82.6856231689453,2895.77002
2019-04-09,71.5436401367188,82.3257827758789,2878.199951
2019-04-10,71.5247268676758,81.4954071044922,2888.209961
2019-04-11,72.1395111083984,82.7317428588867,2888.320068
2019-04-12,73.0947952270508,83.7650680541992,2907.409912
2019-04-15,72.6880950927734,83.8480987548828,2905.580078
2019-04-16,73.1326522827148,82.5933456420898,2907.060059
2019-04-17,73.2272338867188,82.5472106933594,2900.449951
2019-04-18,74.0690460205078,83.0269775390625,2905.030029
2019-04-22,73.8420257568359,83.1838302612305,2907.969971
2019-04-23,74.4852142333984,83.7097244262695,2933.679932
2019-04-24,74.2676620483398,84.3463516235352,2927.25
2019-04-25,72.7732315063477,81.72607421875,2926.169922
2019-04-26,73.3218078613281,80.9695205688477,2939.879883
2019-04-29,73.4920806884766,74.8340759277344,2943.030029
2019-04-30,73.7852783203125,74.7325820922852,2945.830078
2019-05-01,73.3029174804688,74.4834747314453,2923.72998
2019-05-02,73.2650680541992,76.96533203125,2917.52002
2019-05-03,74.1541519165039,77.4081878662109,2945.639893
2019-05-06,73.4447708129883,76.7715835571289,2932.469971
2019-05-07,71.9597930908203,76.1626586914063,2884.050049
2019-05-08,71.9597930908203,76.8177185058594,2879.419922
2019-05-09,71.8557586669922,76.282600402832,2870.719971
2019-05-10,72.1395111083984,75.4061126708984,2881.399902
2019-05-13,70.087028503418,73.8561019897461,2811.870117
2019-05-14,70.8153305053711,75.092414855957,2834.409912
2019-05-15,70.9099273681641,75.5260391235352,2850.959961
2019-05-16,71.5625457763672,76.4948120117188,2876.320068
2019-05-17,70.7680358886719,75.8581771850586,2859.530029
2019-05-20,70.5883331298828,75.4614639282227,2840.22998
