"Series Id,Year,Period,Value"
"CUUR0000SETB,1974,M05,43.7"
"CUUR0000SETB,1974,M06,44.1"
"CUUR0000SETB,1974,M07,44.3"
"CUUR0000SETB,1974,M08,44.0"
"CUUR0000SETB,1974,M09,43.7"
"CUUR0000SETB,1974,M10,42.5"
"CUUR0000SETB,1974,M11,42.0"
"CUUR0000SETB,1974,M12,42.0"
"CUUR0000SETB,1975,M01,42.3"
"CUUR0000SETB,1975,M02,42.4"
"CUUR0000SETB,1975,M03,42.5"
"CUUR0000SETB,1975,M04,43.0"
"CUUR0000SETB,1975,M05,43.7"
"CUUR0000SETB,1975,M06,45.0"
"CUUR0000SETB,1975,M07,47.0"
"CUUR0000SETB,1975,M08,47.3"
"CUUR0000SETB,1975,M09,47.4"
"CUUR0000SETB,1975,M10,47.2"
"CUUR0000SETB,1975,M11,46.8"
"CUUR0000SETB,1975,M12,46.6"
"CUUR0000SETB,1976,M01,46.5"
"CUUR0000SETB,1976,M02,46.0"
"CUUR0000SETB,1976,M03,45.4"
"CUUR0000SETB,1976,M04,45.2"
"CUUR0000SETB,1976,M05,45.9"
"CUUR0000SETB,1976,M06,47.1"
"CUUR0000SETB,1976,M07,47.7"
"CUUR0000SETB,1976,M08,48.0"
"CUUR0000SETB,1976,M09,48.1"
"CUUR0000SETB,1976,M10,48.0"
"CUUR0000SETB,1976,M11,48.0"
"CUUR0000SETB,1976,M12,47.8"
"CUUR0000SETB,1977,M01,47.9"
"CUUR0000SETB,1977,M02,48.4"
"CUUR0000SETB,1977,M03,48.8"
"CUUR0000SETB,1977,M04,49.4"
"CUUR0000SETB,1977,M05,49.9"
"CUUR0000SETB,1977,M06,50.3"
"CUUR0000SETB,1977,M07,50.4"
"CUUR0000SETB,1977,M08,50.4"
"CUUR0000SETB,1977,M09,50.3"
"CUUR0000SETB,1977,M10,50.2"
"CUUR0000SETB,1977,M11,50.1"
"CUUR0000SETB,1977,M12,50.2"
"CUUR0000SETB,1978,M01,50.2"
"CUUR0000SETB,1978,M02,50.0"
"CUUR0000SETB,1978,M03,50.0"
"CUUR0000SETB,1978,M04,50.2"
"CUUR0000SETB,1978,M05,50.6"
"CUUR0000SETB,1978,M06,51.3"
"CUUR0000SETB,1978,M07,52.1"
"CUUR0000SETB,1978,M08,52.7"
"CUUR0000SETB,1978,M09,53.2"
"CUUR0000SETB,1978,M10,53.3"
"CUUR0000SETB,1978,M11,53.7"
"CUUR0000SETB,1978,M12,54.4"
"CUUR0000SETB,1979,M01,55.2"
"CUUR0000SETB,1979,M02,56.2"
"CUUR0000SETB,1979,M03,58.2"
"CUUR0000SETB,1979,M04,62.0"
"CUUR0000SETB,1979,M05,65.4"
"CUUR0000SETB,1979,M06,70.0"
"CUUR0000SETB,1979,M07,73.9"
"CUUR0000SETB,1979,M08,77.1"
"CUUR0000SETB,1979,M09,79.5"
"CUUR0000SETB,1979,M10,80.2"
"CUUR0000SETB,1979,M11,81.0"
"CUUR0000SETB,1979,M12,82.9"
"CUUR0000SETB,1980,M01,88.3"
"CUUR0000SETB,1980,M02,94.4"
"CUUR0000SETB,1980,M03,97.9"
"CUUR0000SETB,1980,M04,98.9"
"CUUR0000SETB,1980,M05,99.1"
"CUUR0000SETB,1980,M06,99.3"
"CUUR0000SETB,1980,M07,99.4"
"CUUR0000SETB,1980,M08,99.2"
"CUUR0000SETB,1980,M09,98.5"
"CUUR0000SETB,1980,M10,97.8"
"CUUR0000SETB,1980,M11,97.8"
"CUUR0000SETB,1980,M12,98.5"
"CUUR0000SETB,1981,M01,101.7"
"CUUR0000SETB,1981,M02,108.4"
"CUUR0000SETB,1981,M03,111.1"
"CUUR0000SETB,1981,M04,110.7"
"CUUR0000SETB,1981,M05,109.9"
"CUUR0000SETB,1981,M06,109.4"
"CUUR0000SETB,1981,M07,109.0"
"CUUR0000SETB,1981,M08,108.7"
"CUUR0000SETB,1981,M09,108.5"
"CUUR0000SETB,1981,M10,108.2"
"CUUR0000SETB,1981,M11,108.1"
"CUUR0000SETB,1981,M12,107.8"
"CUUR0000SETB,1982,M01,107.2"
"CUUR0000SETB,1982,M02,105.4"
"CUUR0000SETB,1982,M03,101.4"
"CUUR0000SETB,1982,M04,96.9"
"CUUR0000SETB,1982,M05,97.8"
"CUUR0000SETB,1982,M06,103.6"
"CUUR0000SETB,1982,M07,105.6"
"CUUR0000SETB,1982,M08,105.2"
"CUUR0000SETB,1982,M09,104.1"
"CUUR0000SETB,1982,M10,103.1"
"CUUR0000SETB,1982,M11,102.5"
"CUUR0000SETB,1982,M12,100.8"
"CUUR0000SETB,1983,M01,98.3"
"CUUR0000SETB,1983,M02,95.0"
"CUUR0000SETB,1983,M03,92.1"
"CUUR0000SETB,1983,M04,97.0"
"CUUR0000SETB,1983,M05,100.5"
"CUUR0000SETB,1983,M06,101.9"
"CUUR0000SETB,1983,M07,102.7"
"CUUR0000SETB,1983,M08,102.8"
"CUUR0000SETB,1983,M09,102.2"
"CUUR0000SETB,1983,M10,101.0"
"CUUR0000SETB,1983,M11,99.9"
"CUUR0000SETB,1983,M12,99.1"
"CUUR0000SETB,1984,M01,97.8"
"CUUR0000SETB,1984,M02,97.5"
"CUUR0000SETB,1984,M03,97.4"
"CUUR0000SETB,1984,M04,98.8"
"CUUR0000SETB,1984,M05,99.5"
"CUUR0000SETB,1984,M06,99.0"
"CUUR0000SETB,1984,M07,97.7"
"CUUR0000SETB,1984,M08,96.8"
"CUUR0000SETB,1984,M09,97.3"
"CUUR0000SETB,1984,M10,97.9"
"CUUR0000SETB,1984,M11,97.6"
"CUUR0000SETB,1984,M12,96.7"
"CUUS0000SETB,1984,S01,98.4"
"CUUS0000SETB,1984,S02,97.3"
"CUUR0000SETB,1985,M01,94.4"
"CUUR0000SETB,1985,M02,93.0"
"CUUR0000SETB,1985,M03,95.2"
"CUUR0000SETB,1985,M04,98.8"
"CUUR0000SETB,1985,M05,100.7"
"CUUR0000SETB,1985,M06,101.6"
"CUUR0000SETB,1985,M07,101.8"
"CUUR0000SETB,1985,M08,100.8"
"CUUR0000SETB,1985,M09,99.7"
"CUUR0000SETB,1985,M10,98.9"
"CUUR0000SETB,1985,M11,99.4"
"CUUR0000SETB,1985,M12,99.7"
"CUUS0000SETB,1985,S01,97.3"
"CUUS0000SETB,1985,S02,100.0"
"CUUR0000SETB,1986,M01,98.5"
"CUUR0000SETB,1986,M02,92.8"
"CUUR0000SETB,1986,M03,81.4"
"CUUR0000SETB,1986,M04,73.8"
"CUUR0000SETB,1986,M05,76.4"
"CUUR0000SETB,1986,M06,79.0"
"CUUR0000SETB,1986,M07,74.0"
"CUUR0000SETB,1986,M08,70.2"
"CUUR0000SETB,1986,M09,71.6"
"CUUR0000SETB,1986,M10,69.5"
"CUUR0000SETB,1986,M11,68.9"
"CUUR0000SETB,1986,M12,69.1"
"CUUS0000SETB,1986,S01,83.7"
"CUUS0000SETB,1986,S02,70.5"
"CUUR0000SETB,1987,M01,72.8"
"CUUR0000SETB,1987,M02,76.0"
"CUUR0000SETB,1987,M03,76.6"
"CUUR0000SETB,1987,M04,78.5"
"CUUR0000SETB,1987,M05,79.1"
"CUUR0000SETB,1987,M06,80.8"
"CUUR0000SETB,1987,M07,82.2"
"CUUR0000SETB,1987,M08,84.3"
"CUUR0000SETB,1987,M09,84.0"
"CUUR0000SETB,1987,M10,83.2"
"CUUR0000SETB,1987,M11,83.2"
"CUUR0000SETB,1987,M12,82.0"
"CUUS0000SETB,1987,S01,77.3"
"CUUS0000SETB,1987,S02,83.2"
"CUUR0000SETB,1988,M01,79.7"
"CUUR0000SETB,1988,M02,78.3"
"CUUR0000SETB,1988,M03,77.5"
"CUUR0000SETB,1988,M04,79.4"
"CUUR0000SETB,1988,M05,81.4"
"CUUR0000SETB,1988,M06,81.4"
"CUUR0000SETB,1988,M07,82.3"
"CUUR0000SETB,1988,M08,84.1"
"CUUR0000SETB,1988,M09,83.1"
"CUUR0000SETB,1988,M10,81.6"
"CUUR0000SETB,1988,M11,81.5"
"CUUR0000SETB,1988,M12,80.3"
"CUUS0000SETB,1988,S01,79.6"
"CUUS0000SETB,1988,S02,82.2"
"CUUR0000SETB,1989,M01,79.6"
"CUUR0000SETB,1989,M02,80.3"
"CUUR0000SETB,1989,M03,81.5"
"CUUR0000SETB,1989,M04,92.1"
"CUUR0000SETB,1989,M05,96.6"
"CUUR0000SETB,1989,M06,96.0"
"CUUR0000SETB,1989,M07,94.4"
"CUUR0000SETB,1989,M08,91.0"
"CUUR0000SETB,1989,M09,88.8"
"CUUR0000SETB,1989,M10,88.9"
"CUUR0000SETB,1989,M11,87.2"
"CUUR0000SETB,1989,M12,85.8"
"CUUS0000SETB,1989,S01,87.7"
"CUUS0000SETB,1989,S02,89.4"
"CUUR0000SETB,1990,M01,91.4"
"CUUR0000SETB,1990,M02,90.6"
"CUUR0000SETB,1990,M03,89.3"
"CUUR0000SETB,1990,M04,91.2"
"CUUR0000SETB,1990,M05,92.5"
"CUUR0000SETB,1990,M06,94.6"
"CUUR0000SETB,1990,M07,94.3"
"CUUR0000SETB,1990,M08,103.2"
"CUUR0000SETB,1990,M09,112.0"
"CUUR0000SETB,1990,M10,118.9"
"CUUR0000SETB,1990,M11,119.0"
"CUUR0000SETB,1990,M12,117.1"
"CUUS0000SETB,1990,S01,91.6"
"CUUS0000SETB,1990,S02,110.8"
"CUUR0000SETB,1991,M01,108.3"
"CUUR0000SETB,1991,M02,99.7"
"CUUR0000SETB,1991,M03,94.6"
"CUUR0000SETB,1991,M04,96.1"
"CUUR0000SETB,1991,M05,100.2"
"CUUR0000SETB,1991,M06,100.5"
"CUUR0000SETB,1991,M07,98.2"
"CUUR0000SETB,1991,M08,99.3"
"CUUR0000SETB,1991,M09,99.8"
"CUUR0000SETB,1991,M10,98.3"
"CUUR0000SETB,1991,M11,99.4"
"CUUR0000SETB,1991,M12,98.4"
"CUUS0000SETB,1991,S01,99.9"
"CUUS0000SETB,1991,S02,98.9"
"CUUR0000SETB,1992,M01,94.5"
"CUUR0000SETB,1992,M02,92.9"
"CUUR0000SETB,1992,M03,93.4"
"CUUR0000SETB,1992,M04,95.0"
"CUUR0000SETB,1992,M05,99.4"
"CUUR0000SETB,1992,M06,102.9"
"CUUR0000SETB,1992,M07,102.8"
"CUUR0000SETB,1992,M08,101.7"
"CUUR0000SETB,1992,M09,101.7"
"CUUR0000SETB,1992,M10,101.6"
"CUUR0000SETB,1992,M11,102.2"
"CUUR0000SETB,1992,M12,100.2"
"CUUS0000SETB,1992,S01,96.4"
"CUUS0000SETB,1992,S02,101.7"
"CUUR0000SETB,1993,M01,98.6"
"CUUR0000SETB,1993,M02,98.0"
"CUUR0000SETB,1993,M03,97.3"
"CUUR0000SETB,1993,M04,98.4"
"CUUR0000SETB,1993,M05,99.7"
"CUUR0000SETB,1993,M06,99.8"
"CUUR0000SETB,1993,M07,98.1"
"CUUR0000SETB,1993,M08,97.0"
"CUUR0000SETB,1993,M09,96.1"
"CUUR0000SETB,1993,M10,99.7"
"CUUR0000SETB,1993,M11,98.4"
"CUUR0000SETB,1993,M12,94.8"
"CUUS0000SETB,1993,S01,98.6"
"CUUS0000SETB,1993,S02,97.4"
"CUUR0000SETB,1994,M01,92.6"
"CUUR0000SETB,1994,M02,93.6"
"CUUR0000SETB,1994,M03,93.3"
"CUUR0000SETB,1994,M04,94.8"
"CUUR0000SETB,1994,M05,96.0"
"CUUR0000SETB,1994,M06,98.2"
"CUUR0000SETB,1994,M07,100.5"
"CUUR0000SETB,1994,M08,104.1"
"CUUR0000SETB,1994,M09,103.7"
"CUUR0000SETB,1994,M10,101.8"
"CUUR0000SETB,1994,M11,102.7"
"CUUR0000SETB,1994,M12,100.4"
"CUUS0000SETB,1994,S01,94.8"
"CUUS0000SETB,1994,S02,102.2"
"CUUR0000SETB,1995,M01,98.7"
"CUUR0000SETB,1995,M02,98.0"
"CUUR0000SETB,1995,M03,97.5"
"CUUR0000SETB,1995,M04,99.5"
"CUUR0000SETB,1995,M05,104.2"
"CUUR0000SETB,1995,M06,106.1"
"CUUR0000SETB,1995,M07,103.6"
"CUUR0000SETB,1995,M08,101.1"
"CUUR0000SETB,1995,M09,99.8"
"CUUR0000SETB,1995,M10,98.3"
"CUUR0000SETB,1995,M11,96.4"
"CUUR0000SETB,1995,M12,96.4"
"CUUS0000SETB,1995,S01,100.7"
"CUUS0000SETB,1995,S02,99.3"
"CUUR0000SETB,1996,M01,98.6"
"CUUR0000SETB,1996,M02,98.2"
"CUUR0000SETB,1996,M03,101.4"
"CUUR0000SETB,1996,M04,108.6"
"CUUR0000SETB,1996,M05,113.6"
"CUUR0000SETB,1996,M06,111.2"
"CUUR0000SETB,1996,M07,108.9"
"CUUR0000SETB,1996,M08,106.4"
"CUUR0000SETB,1996,M09,106.2"
"CUUR0000SETB,1996,M10,105.9"
"CUUR0000SETB,1996,M11,107.8"
"CUUR0000SETB,1996,M12,108.6"
"CUUS0000SETB,1996,S01,105.3"
"CUUS0000SETB,1996,S02,107.3"
"CUUR0000SETB,1997,M01,108.6"
"CUUR0000SETB,1997,M02,108.1"
"CUUR0000SETB,1997,M03,106.4"
"CUUR0000SETB,1997,M04,106.0"
"CUUR0000SETB,1997,M05,105.7"
"CUUR0000SETB,1997,M06,105.9"
"CUUR0000SETB,1997,M07,103.9"
"CUUR0000SETB,1997,M08,107.6"
"CUUR0000SETB,1997,M09,109.3"
"CUUR0000SETB,1997,M10,106.7"
"CUUR0000SETB,1997,M11,104.6"
"CUUR0000SETB,1997,M12,101.9"
"CUUS0000SETB,1997,S01,106.8"
"CUUS0000SETB,1997,S02,105.7"
"CUUR0000SETB,1998,M01,97.8"
"CUUR0000SETB,1998,M02,94.1"
"CUUR0000SETB,1998,M03,90.9"
"CUUR0000SETB,1998,M04,91.7"
"CUUR0000SETB,1998,M05,94.7"
"CUUR0000SETB,1998,M06,94.8"
"CUUR0000SETB,1998,M07,93.7"
"CUUR0000SETB,1998,M08,91.6"
"CUUR0000SETB,1998,M09,90.0"
"CUUR0000SETB,1998,M10,90.8"
"CUUR0000SETB,1998,M11,89.7"
"CUUR0000SETB,1998,M12,86.2"
"CUUS0000SETB,1998,S01,94.0"
"CUUS0000SETB,1998,S02,90.3"
"CUUR0000SETB,1999,M01,85.0"
"CUUR0000SETB,1999,M02,83.6"
"CUUR0000SETB,1999,M03,86.3"
"CUUR0000SETB,1999,M04,100.9"
"CUUR0000SETB,1999,M05,101.4"
"CUUR0000SETB,1999,M06,99.2"
"CUUR0000SETB,1999,M07,102.5"
"CUUR0000SETB,1999,M08,107.8"
"CUUR0000SETB,1999,M09,110.3"
"CUUR0000SETB,1999,M10,110.0"
"CUUR0000SETB,1999,M11,109.3"
"CUUR0000SETB,1999,M12,112.2"
"CUUS0000SETB,1999,S01,92.7"
"CUUS0000SETB,1999,S02,108.7"
"CUUR0000SETB,2000,M01,112.6"
"CUUR0000SETB,2000,M02,118.1"
"CUUR0000SETB,2000,M03,131.7"
"CUUR0000SETB,2000,M04,128.7"
"CUUR0000SETB,2000,M05,128.3"
"CUUR0000SETB,2000,M06,139.0"
"CUUR0000SETB,2000,M07,136.1"
"CUUR0000SETB,2000,M08,128.4"
"CUUR0000SETB,2000,M09,135.2"
"CUUR0000SETB,2000,M10,133.1"
"CUUR0000SETB,2000,M11,133.0"
"CUUR0000SETB,2000,M12,127.8"
"CUUS0000SETB,2000,S01,126.4"
"CUUS0000SETB,2000,S02,132.3"
"CUUR0000SETB,2001,M01,126.6"
"CUUR0000SETB,2001,M02,127.5"
"CUUR0000SETB,2001,M03,124.1"
"CUUR0000SETB,2001,M04,133.6"
"CUUR0000SETB,2001,M05,146.8"
"CUUR0000SETB,2001,M06,142.0"
"CUUR0000SETB,2001,M07,125.6"
