date,consumer_staples,kellogg,spstock
2019-01-02,50.4799995422363,56.6399993896484,2510.030029
2019-01-03,50.189998626709,56.7400016784668,2447.889893
2019-01-04,51.2599983215332,57.2999992370605,2531.939941
2019-01-07,51.189998626709,57.5699996948242,2549.689941
2019-01-08,51.6599998474121,57.8899993896484,2574.409912
2019-01-09,51.1800003051758,57.9500007629395,2584.959961
2019-01-10,51.4799995422363,58.2900009155273,2596.639893
2019-01-11,51.6300010681152,58.5800018310547,2596.26001
2019-01-14,51.3800010681152,58.5400009155273,2582.610107
2019-01-15,51.8899993896484,59.310001373291,2610.300049
2019-01-16,51.6100006103516,59.1199989318848,2616.100098
2019-01-17,51.8300018310547,59.2799987792969,2635.959961
2019-01-18,52.4500007629395,59.4300003051758,2670.709961
2019-01-22,51.9700012207031,58.7000007629395,2632.899902
2019-01-23,52.5900001525879,59.1300010681152,2638.699951
2019-01-24,51.939998626709,57.6599998474121,2642.330078
2019-01-25,51.7299995422363,57.7799987792969,2664.76001
2019-01-28,51.9500007629395,58.1199989318848,2643.850098
2019-01-29,52.0699996948242,58.2299995422363,2640
2019-01-30,52.4199981689453,57.8300018310547,2681.050049
2019-01-31,53.3899993896484,59.0099983215332,2704.100098
2019-02-01,53.2200012207031,58.7000007629395,2706.530029
2019-02-04,53.560001373291,58.9199981689453,2724.870117
2019-02-05,53.5699996948242,59.1399993896484,2737.699951
2019-02-06,53.5800018310547,59.1599998474121,2731.610107
2019-02-07,53.5400009155273,55.8400001525879,2706.050049
2019-02-08,53.7900009155273,55.3600006103516,2707.879883
2019-02-11,53.9300003051758,55.6699981689453,2709.800049
2019-02-12,54.3499984741211,56.5299987792969,2744.72998
2019-02-13,54.4500007629395,56.9599990844727,2753.030029
2019-02-14,53.8400001525879,56.5800018310547,2745.72998
2019-02-15,54.3499984741211,56.7900009155273,2775.600098
2019-02-19,54.6300010681152,57.4199981689453,2779.76001
2019-02-20,54.5299987792969,58.4500007629395,2784.699951
2019-02-21,54.689998626709,58.3300018310547,2774.879883
2019-02-22,54.4300003051758,56.7299995422363,2792.669922
2019-02-25,54.1300010681152,55.6599998474121,2796.110107
2019-02-26,54.1599998474121,55.9199981689453,2793.899902
2019-02-27,54.0800018310547,55.7599983215332,2792.379883
2019-02-28,54.3400001525879,56.2599983215332,2784.48999
2019-03-01,54.2400016784668,56.8400001525879,2803.689941
2019-03-04,54.1500015258789,54.6100006103516,2792.810059
2019-03-05,54.1100006103516,54.7700004577637,2789.649902
2019-03-06,54.0299987792969,54.4700012207031,2771.449951
2019-03-07,53.6800003051758,54.2999992370605,2748.929932
2019-03-08,53.7099990844727,54.560001373291,2743.070068
2019-03-11,54.4099998474121,54.1500015258789,2783.300049
2019-03-12,54.4300003051758,54.1599998474121,2791.52002
2019-03-13,54.7400016784668,53.6100006103516,2810.919922
2019-03-14,54.689998626709,53.810001373291,2808.47998
2019-03-15,54.7000007629395,54.2700004577637,2822.47998
2019-03-18,54.7799987792969,54.2700004577637,2832.939941
2019-03-19,54.7400016784668,54.4099998474121,2832.570068
2019-03-20,54.5099983215332,54.1100006103516,2824.22998
2019-03-21,55.1500015258789,56.4799995422363,2854.879883
2019-03-22,55.0800018310547,56.7400016784668,2800.709961
2019-03-25,55.189998626709,56.6699981689453,2798.360107
2019-03-26,55.6599998474121,57.5699996948242,2818.459961
2019-03-27,55.4700012207031,56.939998626709,2805.370117
2019-03-28,55.7400016784668,56.9700012207031,2815.439941
2019-03-29,56.1100006103516,57.3800010681152,2834.399902
2019-04-01,55.9199981689453,56.0200004577637,2867.189941
2019-04-02,55.4599990844727,56.3499984741211,2867.23999
2019-04-03,55.189998626709,56.6599998474121,2873.399902
2019-04-04,55.4000015258789,56.4500007629395,2879.389893
2019-04-05,55.5900001525879,56.7999992370605,2892.73999
2019-04-08,55.8199996948242,57.5,2895.77002
2019-04-09,55.75,57.1599998474121,2878.199951
2019-04-10,55.9099998474121,57.5499992370605,2888.209961
2019-04-11,56.0200004577637,57.3499984741211,2888.320068
2019-04-12,56.2000007629395,57.5699996948242,2907.409912
2019-04-15,56.5299987792969,58.3499984741211,2905.580078
2019-04-16,56.5400009155273,58.3899993896484,2907.060059
2019-04-17,56.8199996948242,58.0900001525879,2900.449951
2019-04-18,56.8699989318848,58.4500007629395,2905.030029
2019-04-22,56.8899993896484,58.3600006103516,2907.969971
2019-04-23,56.7099990844727,58.4300003051758,2933.679932
2019-04-24,56.8300018310547,58.5699996948242,2927.25
2019-04-25,56.4700012207031,57.939998626709,2926.169922
2019-04-26,56.9799995422363,59.4000015258789,2939.879883
2019-04-29,57.0499992370605,59.6399993896484,2943.030029
2019-04-30,57.7099990844727,60.2999992370605,2945.830078
2019-05-01,57,59.3899993896484,2923.72998
2019-05-02,56.9799995422363,57.3800010681152,2917.52002
2019-05-03,57.4099998474121,56.4700012207031,2945.639893
2019-05-06,57.3199996948242,57.4000015258789,2932.469971
2019-05-07,56.75,57.1500015258789,2884.050049
2019-05-08,56.7400016784668,57.25,2879.419922
2019-05-09,56.6199989318848,57.7900009155273,2870.719971
2019-05-10,57.310001373291,58.6399993896484,2881.399902
2019-05-13,56.7700004577637,57.7799987792969,2811.870117
2019-05-14,57.0400009155273,57.1699981689453,2834.409912
2019-05-15,57.4900016784668,57.3699989318848,2850.959961
2019-05-16,57.939998626709,57.4000015258789,2876.320068
2019-05-17,57.75,57.0200004577637,2859.530029
2019-05-20,57.6100006103516,56.439998626709,2840.22998
2019-05-21,57.4900016784668,56.5400009155273,2864.360107
