date,consumer_discretionary,nike,spstock
2019-01-02,50.4799995422363,74.0599975585938,2510.030029
2019-01-03,50.189998626709,72.75,2447.889893
2019-01-04,51.2599983215332,74.6500015258789,2531.939941
2019-01-07,51.189998626709,75.7200012207031,2549.689941
2019-01-08,51.6599998474121,76.7300033569336,2574.409912
2019-01-09,51.1800003051758,76.5899963378906,2584.959961
2019-01-10,51.4799995422363,76.4199981689453,2596.639893
2019-01-11,51.6300010681152,76.0400009155273,2596.26001
2019-01-14,51.3800010681152,76.0899963378906,2582.610107
2019-01-15,51.8899993896484,77.879997253418,2610.300049
2019-01-16,51.6100006103516,77.6800003051758,2616.100098
2019-01-17,51.8300018310547,79.129997253418,2635.959961
2019-01-18,52.4500007629395,80.4499969482422,2670.709961
2019-01-22,51.9700012207031,80.75,2632.899902
2019-01-23,52.5900001525879,80.5,2638.699951
2019-01-24,51.939998626709,80.4400024414063,2642.330078
2019-01-25,51.7299995422363,80.6100006103516,2664.76001
2019-01-28,51.9500007629395,80.3199996948242,2643.850098
2019-01-29,52.0699996948242,80.2200012207031,2640
2019-01-30,52.4199981689453,81.2799987792969,2681.050049
2019-01-31,53.3899993896484,81.879997253418,2704.100098
2019-02-01,53.2200012207031,81.5100021362305,2706.530029
2019-02-04,53.560001373291,81.9899978637695,2724.870117
2019-02-05,53.5699996948242,82.8600006103516,2737.699951
2019-02-06,53.5800018310547,82.7099990844727,2731.610107
2019-02-07,53.5400009155273,82.3899993896484,2706.050049
2019-02-08,53.7900009155273,82.3600006103516,2707.879883
2019-02-11,53.9300003051758,83.6800003051758,2709.800049
2019-02-12,54.3499984741211,84.7099990844727,2744.72998
2019-02-13,54.4500007629395,85.4000015258789,2753.030029
2019-02-14,53.8400001525879,84.6800003051758,2745.72998
2019-02-15,54.3499984741211,85.379997253418,2775.600098
2019-02-19,54.6300010681152,84.5699996948242,2779.76001
2019-02-20,54.5299987792969,84.8399963378906,2784.699951
2019-02-21,54.689998626709,83.9499969482422,2774.879883
2019-02-22,54.4300003051758,84.7600021362305,2792.669922
2019-02-25,54.1300010681152,85.1699981689453,2796.110107
2019-02-26,54.1599998474121,85.8000030517578,2793.899902
2019-02-27,54.0800018310547,86.1699981689453,2792.379883
2019-02-28,54.3400001525879,85.7300033569336,2784.48999
2019-03-01,54.2400016784668,87.1600036621094,2803.689941
2019-03-04,54.1500015258789,85.6399993896484,2792.810059
2019-03-05,54.1100006103516,85.4400024414063,2789.649902
2019-03-06,54.0299987792969,85.129997253418,2771.449951
2019-03-07,53.6800003051758,85.2600021362305,2748.929932
2019-03-08,53.7099990844727,84.8000030517578,2743.070068
2019-03-11,54.4099998474121,85.8199996948242,2783.300049
2019-03-12,54.4300003051758,85.4300003051758,2791.52002
2019-03-13,54.7400016784668,85.9300003051758,2810.919922
2019-03-14,54.689998626709,86.870002746582,2808.47998
2019-03-15,54.7000007629395,86.8000030517578,2822.47998
2019-03-18,54.7799987792969,87.8199996948242,2832.939941
2019-03-19,54.7400016784668,87.6900024414063,2832.570068
2019-03-20,54.5099983215332,86.6900024414063,2824.22998
2019-03-21,55.1500015258789,88.0100021362305,2854.879883
2019-03-22,55.0800018310547,82.1900024414063,2800.709961
2019-03-25,55.189998626709,82.3300018310547,2798.360107
2019-03-26,55.6599998474121,83.379997253418,2818.459961
2019-03-27,55.4700012207031,83.0899963378906,2805.370117
2019-03-28,55.7400016784668,84.0400009155273,2815.439941
2019-03-29,56.1100006103516,84.2099990844727,2834.399902
2019-04-01,55.9199981689453,85.2300033569336,2867.189941
2019-04-02,55.4599990844727,84.370002746582,2867.23999
2019-04-03,55.189998626709,84.4700012207031,2873.399902
2019-04-04,55.4000015258789,85.2799987792969,2879.389893
2019-04-05,55.5900001525879,85.4000015258789,2892.73999
2019-04-08,55.8199996948242,84.7300033569336,2895.77002
2019-04-09,55.75,84.2799987792969,2878.199951
2019-04-10,55.9099998474121,84.879997253418,2888.209961
2019-04-11,56.0200004577637,85,2888.320068
2019-04-12,56.2000007629395,86.2399978637695,2907.409912
2019-04-15,56.5299987792969,86.8300018310547,2905.580078
2019-04-16,56.5400009155273,87.8000030517578,2907.060059
2019-04-17,56.8199996948242,88.7300033569336,2900.449951
2019-04-18,56.8699989318848,89.1999969482422,2905.030029
2019-04-22,56.8899993896484,87.3600006103516,2907.969971
2019-04-23,56.7099990844727,87.4300003051758,2933.679932
2019-04-24,56.8300018310547,88.3899993896484,2927.25
2019-04-25,56.4700012207031,87.5599975585938,2926.169922
2019-04-26,56.9799995422363,88.3099975585938,2939.879883
2019-04-29,57.0499992370605,88.2600021362305,2943.030029
2019-04-30,57.7099990844727,87.8300018310547,2945.830078
2019-05-01,57,85.9000015258789,2923.72998
2019-05-02,56.9799995422363,85.2699966430664,2917.52002
2019-05-03,57.4099998474121,85.6999969482422,2945.639893
2019-05-06,57.3199996948242,83.5699996948242,2932.469971
2019-05-07,56.75,82.5400009155273,2884.050049
2019-05-08,56.7400016784668,82.7699966430664,2879.419922
2019-05-09,56.6199989318848,82.9800033569336,2870.719971
2019-05-10,57.310001373291,83.9499969482422,2881.399902
2019-05-13,56.7700004577637,82.5299987792969,2811.870117
2019-05-14,57.0400009155273,83.6699981689453,2834.409912
2019-05-15,57.4900016784668,84.0100021362305,2850.959961
2019-05-16,57.939998626709,84.2799987792969,2876.320068
2019-05-17,57.75,84.5699996948242,2859.530029
2019-05-20,57.6100006103516,82.8499984741211,2840.22998
2019-05-21,57.4900016784668,83.6399993896484,2864.360107
2019-05-22,57.75,83.1999969482422,2856.27002
