date,energy_sector,oxy,spstock
2019-06-25,62.4900016784668,49.3800010681152,2917.379883
2019-06-26,63.4500007629395,50.4199981689453,2913.780029
2019-06-27,62.9799995422363,49.75,2924.919922
2019-06-28,63.7099990844727,50.2799987792969,2941.76001
2019-07-01,63.7700004577637,49.7799987792969,2964.330078
2019-07-02,62.75,48.7799987792969,2973.01001
2019-07-03,63,49.1699981689453,2995.820068
2019-07-05,63.0900001525879,49.2799987792969,2990.409912
2019-07-08,63.1800003051758,49.2999992370605,2975.949951
2019-07-09,63.2299995422363,49.6100006103516,2979.629883
2019-07-10,64.0400009155273,50.2400016784668,2993.070068
2019-07-11,64.1699981689453,50.439998626709,2999.909912
2019-07-12,64.4400024414063,51.7200012207031,3013.77002
2019-07-15,63.8600006103516,51.6300010681152,3014.300049
2019-07-16,63.1800003051758,51.0999984741211,3004.040039
2019-07-17,62.4599990844727,51.1800003051758,2984.419922
2019-07-18,62.4700012207031,51.0099983215332,2995.110107
2019-07-19,62.7599983215332,52.3300018310547,2976.610107
2019-07-22,63.0499992370605,52.5099983215332,2985.030029
2019-07-23,63.2200012207031,51.7999992370605,3005.469971
2019-07-24,63.4900016784668,52.0499992370605,3019.560059
2019-07-25,62.7700004577637,51.1399993896484,3003.669922
2019-07-26,62.4500007629395,51.5900001525879,3025.860107
2019-07-29,62.2000007629395,50.9099998474121,3020.969971
2019-07-30,62.9000015258789,52.4700012207031,3013.179932
2019-07-31,62.7000007629395,51.3600006103516,2980.379883
2019-08-01,61.2799987792969,53.1699981689453,2953.560059
2019-08-02,60.4000015258789,51.1800003051758,2932.050049
2019-08-05,58.5999984741211,49.4199981689453,2844.73999
2019-08-06,58.5299987792969,47.5800018310547,2881.77002
2019-08-07,58.0900001525879,46,2883.97998
2019-08-08,59.7599983215332,47.1300010681152,2938.090088
2019-08-09,59.0999984741211,47.1300010681152,2918.649902
2019-08-12,58.4000015258789,44.9900016784668,2882.699951
2019-08-13,58.939998626709,44.7599983215332,2926.320068
